SAMPLE,Be_ppm,Cs_ppm,Li_ppm,Nb_ppm,P_ppm,Rb_ppm,Sn_ppm,Ta_ppm,Th_ppm,U_ppm,Y_ppm
IJSS0040,4.414,4.01,23.17,0.795,470,32.267,2.88,,2.655,1.409,10.454
IJSS0041,0.857,1.45,14.81,1.258,315,74.479,1.76,,4.424,0.45,7.948
IJSS0042,0.786,0.87,16.46,1.104,277,55.346,1.89,,4.615,0.441,7.729
IJSS0043,1.288,0.45,4.65,0.706,454,20.785,2.27,,2.21,0.396,23.581
IJSS0044,2.002,6.06,14.7,0.698,451,37.597,1.88,0.006,4.102,0.884,19.331
IJSS0045,2.19,9.32,21.95,1.196,184,72.8,1.89,0.007,7.377,0.973,5.714
IJSS0046,1.399,8.22,15.43,0.94,167,48.387,1.93,0.007,7.123,1.852,11.815
IJSS0047,1.157,1.42,7.86,1.119,144,41.393,1.34,0.006,8.687,0.801,10.968
IJSS0048,1.422,1.99,13.64,1.321,154,59.249,1.47,0.007,9.676,1.002,16.446
IJSS0049,1.629,2.16,15.35,1.02,173,78.776,2.41,,7.771,0.697,11.095
IJSS0050,0.576,1.4,4.23,0.778,624,17.398,2.71,,3.524,0.97,6.024
IJSS0051,2.459,1.77,16.92,0.759,137,84.222,2.57,,7.359,0.652,21.068
IJSS0052,2.116,2.41,20.36,0.647,148,87.756,2.35,,7.587,0.782,22.162
IJSS0053,2.272,2.37,19.42,0.609,319,88.379,2.59,,6.242,0.684,12.649
IJSS0054,1.908,4.38,35.24,0.645,327,76.46,2.16,0.007,4.478,0.738,12.204
IJSS0055,2.249,6.2,31.01,0.999,585,50.319,1.94,,3.356,0.566,14.515
IJSS0056,1.625,1.12,7.24,0.447,417,13.052,1.86,,1.583,0.262,33.623
IJSS0057,1.144,1.87,12.94,1.274,316,66.884,1.26,,4.86,0.47,18.296
IJSS0058,0.535,0.93,17.97,1.022,205,120.296,3.34,,5.379,0.405,9.534
IJSS0059,1.266,0.79,6.93,0.75,373,49.338,2.32,,3.775,0.489,13.6
IJSS0060,1.799,4.75,11.46,0.88,247,47.531,2.02,,4.489,0.696,7.873
IJSS0061,1.829,4.89,11.61,0.988,203,48.375,1.83,0.007,5.952,0.823,7.865
IJSS0062,2.07,2.54,17.24,0.733,315,35.595,1.83,0.008,7.03,1.496,6.29
IJSS0063,1.695,3.44,17.41,1.6,250,65.415,1.64,0.007,10.124,1.236,18.701
IJSS0064,1.844,3.65,21.47,1.525,192,67.498,1.83,0.007,8.802,1.035,16.666
IJSS0065,2.115,4.01,33.82,1.327,221,78.505,2.85,,8.571,1.034,9.316
IJSS0066,1.476,2.07,22.92,1.068,231,90.168,2.82,,8.256,0.676,6.721
IJSS0067,1.723,1.87,15.56,0.845,315,91.284,2.21,,8.001,0.572,9.236
IJSS0068,1.417,1.31,13.05,0.958,256,82.419,1.98,,7.29,0.579,9.364
IJSS0069,2.231,1.67,16.5,1.018,300,101.6,2.53,,7.202,0.438,14.613
IJSS0070,1.847,4.54,50.64,0.818,283,89.37,2.48,,6.178,0.519,15.25
IJSS0071,3.902,9.23,73.24,0.138,78,20.606,0.57,0.007,1.181,3.593,3.35
IJSS0072,1.506,1.58,67.91,1.092,222,112.838,2.93,,7.669,0.359,6.543
IJSS0073,1.206,0.69,8.89,0.775,533,70.083,2.55,,4.971,0.494,16.454
IJSS0074,0.564,0.83,26.35,0.909,272,111.545,3.94,0.005,5.286,0.243,16.412
IJSS0075,0.533,0.81,25.63,0.942,274,108.698,3.97,,5.533,0.24,15.839
IJSS0076,1.124,2.62,6.62,0.737,344,40.894,1.39,,3.304,0.421,14.784
IJSS0077,2.588,13.53,24.72,1.31,118,59.9,1.33,0.01,3.38,0.948,4.452
IJSS0078,3.375,10.81,22.94,1.282,190,80.347,2.07,0.008,6.667,1.096,6.149
IJSS0079,1.508,3.55,9.84,0.978,189,54.251,1.66,0.005,6.912,0.805,9.063
IJSS0080,2.945,5.35,33.22,2.127,195,82.959,1.94,0.014,9.452,2.383,31.189
IJSS0081,1.76,1.58,10.51,2.198,119,19.395,0.65,0.008,1.759,3.316,8.425
IJSS0082,2.303,5.64,24.41,2.051,171,73.877,1.97,0.01,7.403,1,38.021
IJSS0083,1.349,1.53,19.88,1.014,226,100.375,2.32,,7.624,0.488,10.604
IJSS0084,0.631,0.75,14.18,1.08,624,80.188,1.49,,9.47,0.22,7.002
IJSS0085,0.893,1.55,16.15,1.675,161,103.144,2.26,,7.492,0.492,8.4
IJSS0086,2.707,0.63,9.43,0.643,391,45.181,2.6,,2.925,0.431,13.751
IJSS0087,0.727,3.59,85.73,1.125,233,88.697,2.61,,5.722,0.609,12.127
IJSS0088,3.469,8.4,41.11,1.315,216,53.773,2.67,0.008,2.522,0.552,8.576
IJSS0089,3.334,6.87,53.11,1.48,456,115.991,0.85,,6.342,0.508,19.087
IJSS0090,0.41,0.86,13.12,1.33,347,114.96,2.65,,6.912,0.599,10.492
IJSS0091,1.1,0.76,6.43,0.669,271,47.64,2.11,,2.743,0.351,25.153
IJSS0092,3.363,4.95,15.12,0.619,452,16.671,1.35,,1.79,0.553,9.148
IJSS0093,1.195,7.57,20.78,1.549,86,71.126,0.85,0.006,5.739,0.613,4.113
IJSS0094,2.858,11.88,28.26,1.192,170,97.911,2.06,0.006,9.057,0.92,5.323
IJSS0095,2.568,3.56,24.1,2.017,179,63.788,1.58,0.009,5.487,1.332,37.344
IJSS0096,1.936,3.6,57.44,6.289,161,57.351,1.13,0.011,10.717,1.128,63.517
IJSS0097,2.667,5.27,35.67,2.025,171,54.332,8.41,0.007,6.742,0.929,9.45
IJSS0098,1.052,2.75,47.19,1.243,276,100.085,2.61,,8.359,0.469,10.01
IJSS0099,2.413,1.14,12.79,0.657,415,82.133,2.21,,3.251,0.35,11.069
IJSS0100,0.844,0.58,8.84,0.844,350,46.006,1.58,,3.457,0.273,8.977
IJSS0101,0.938,0.9,12.3,1.458,222,79.177,1.53,,5.918,0.291,8.512
IJSS0102,0.516,2.78,39.3,1.692,221,53.667,0.89,0.005,7.311,0.531,6.455
IJSS0103,2.474,4.61,18.82,0.974,147,36.102,2.42,0.015,1.819,0.462,3.872
IJSS0104,1.407,2.51,7.94,1.651,102,17.128,0.87,0.011,2.14,0.515,3.692
IJSS0105,1.394,0.84,10.63,0.872,335,74.426,2.64,0.005,6.106,0.56,12.292
IJSS0106,1.42,0.67,7.39,0.923,336,39.179,2.98,,3.86,0.368,16.766
